556.20		241.60		2		236		245
1018.16		294.85		1.15	291		298
1535.70		351.71		1.25	345.85	356.93
147			509.92		2.5		501		516
1103.58		609.57		1.5		603		615
137			768.2		2		765		772
82.8		784.4		1.5		782.5	787.5
78			910			1.5		907		913.5
96			933.2		1.25	927		937.26
290			1121		1.5		1113	1125
124			1238.75		2		1233	1240.75
95			1378.7		2		1373	1380.24
633			1461		2		1456	1466
49			1508.3		2.25	1502.2	1514
25			1659.5		2.34	1656	1665
52.8		1728.14		2.5		1723.6	1734.5
240			1763.8		2.25	1756	1769
43			1846		2.25	1841.9	1852.4
19			2445.5		2.25	2442	2453.9
24			2119.5		3		2111	2124
64.5		2202.5		3		2196	2210
22			2445.5		2.25	2441	2454
119.75		2613		3		2608	2620.3
